accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,ppid
2016.4,0.00,,,,,,"Swanson, Edie",2016-09-01,"Communication Artifact
Documentary Artifact","Hermansen, Rev. Louis & Annette",2016-09-01,"Swanson, Edie",Poor,,,0,"Haldor Lillenas, Mus. D.",,0.00,0.00,,Circa 1945,"A burgundy colored softcover gospel songbook for solos and duets. Inside, first page has written in ink: Volet Sunsten. The cost of the book was .60 cents",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH  A-23",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-09-01,,,2016.4.19,"Book, Softcover",,,,,,Documentary Artifact,"Hermansen, Rev. Louis & Annette","8  x 5.75"" burgundy colored softcovered",,,Lillenas Publishing Company,,"Kansas City, Missouri",Donation,01/06/2016,"Hermansen, Rev. Louis & Annette",,,,,,,,OK,"Swanson, Edie",2016-09-01,"book
softcover
songbook
gospel","book
softcover
songbook
gospel",,,,,,,,Inspiring Gospel Solos & Duets,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-09-01T10:32:09,,,false,,A32045C8-59ED-4625-9CE2-273676707330
2016.4,0.00,,,,,,"Swanson, Edie",2016-09-01,"Communication Artifact
Documentary Artifact","Hermansen, Rev. Louis & Annette",2016-09-01,"Swanson, Edie",Poor,,,0,"D.B. Towner, Mus. Doc.",,0.00,0.00,,1909,"A brown colored fabric hardcover hymn book; evangelistic edition belonged to Mrs. Hjalmar Sunsten. A collection of gospel hymns, new & old.",,0,Evangelistic,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH A-23",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-09-01,,,2016.4.20,"Book, Religious",,,,,,Documentary Artifact,"Hermansen, Rev. Louis & Annette","7.875"" x 5.25' brown hardcover",,,Fleming H.Revell Company,,New York,Donation,01/06/2016,"Hermansen, Rev. Louis & Annette",,,,,,,,OK,"Swanson, Edie",2016-09-01,"book
religious
song
hymns
evangelistic","book
religious
song
hymns
evangelistic",,,,,,,,The Ideal Song & Hymn Book,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-09-01T10:31:41,,,false,,B23B0F7A-208C-48E0-ACB5-206353725896
2016.4,0.00,,,,,,"Swanson, Edie",2016-09-01,"Communication Artifact
Documentary Artifact","Hermansen, Rev. Louis & Annette",2016-09-01,"Swanson, Edie",Poor,,,0,David F. Nygren,,0.00,0.00,,1916,"A tan colored softcover songbook. The songs were compiled for the church, sunday school & evangelistic srvices.  The back page & more are missing. ",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH A-23",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-09-01,,,2016.4.21,"Book, Religious",,,,,,Documentary Artifact,"Hermansen, Rev. Louis & Annette","7.5"" x5.125"" softcover",,,The Gospel Echo Publishing Company,,"Wilminington, Delaware",Donation,01/06/2016,"Hermansen, Rev. Louis & Annette",,,,,,,,OK,"Swanson, Edie",2016-09-01,"book
religious
song
hymns
gospel","book
religious
song
hymns
gospel",,,,,,,,The Gospel Echo,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-09-01T10:31:00,,,false,,AE079E1A-6FC6-4442-A07F-656440498171
2016.31,0.00,,,,,,"Swanson, Edie",2016-09-29,"Communication Artifact
Documentary Artifact",T. Neal & LaVonne Johnson,2016-09-29,"Swanson, Edie",Poor,,,0,"Harriott Ely Fansler, A.M. & Dean Spruill Fansler, A.M.",,0.00,0.00,,1909,"A brownish green color soft-cover lesson book on exercises in English form & diction. belonged to Thilda Solom for her English II class.  Tucked inside the book are some papers with notes and exercises on them.  Also there is a postcard dated Feb.19, 1927 with a picture of Valdez, Alaska on the front. ",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH 6A, Box: T. Neal & LaVonne Johnson",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-09-29,,,2016.31.14,"Book, Lesson",,,,,,Documentary Artifact,"Johnson, T. Neal & LaVonne","8.5"" x 6.75"" soft-cover",,,"Row, Peterson & Company",,"Chicago, Il",Donation,08/25/2016,"Johnson, T. Neal & LaVonne",,,,,,,,OK,"Swanson, Edie",2016-09-29,"book
lesson
English
study
exercises","book
lesson
English
study
exercises",,,,,,,,"Exercises in English Form & Diction
for Study & Practice",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-09-29T13:09:16,,,false,,AFCD1CBE-3BA3-4CFB-BE6D-401466313350
2016.38,0.00,,,,,,"Swanson, Edie",2016-11-22,"Communication Artifact
Documentary Artifact",Robert C. Olson,2016-11-22,"Swanson, Edie",Fair,,,0,,,0.00,0.00,,1941,"A serviceman's New testament & Psalms book , issued when in the service.In the front pages of the book is the American Flag and a letter conposed by Franklin D. Roosevelt, January 25, 1941",,0,,,0,,,,,,,,,8: Communication Artifact,"Object Storage RM, SH 17B, Box B, WWII",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-11-22,,,2016.38.2,Bible,,,,,,Documentary Artifact,"Olson, Robert C. & Josephine","4.75"" x 3"" x .625""  brown covered",,,The National Bible Press,,"Philadelphia, PA",Donation,11/21/2016,"Haugen, Audrey",,,,,,,,OK,"Swanson, Edie",2016-11-22,"Bible
New Testament","Bible
New Testament
",,,,,,,,New Testament & Psalms,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-11-22T12:41:03,,,false,,8D9E95C6-D148-43FC-AF84-252677973531
2016.2,0.00,,,,,,"O'Leary, Gina",2016-12-13,"Communication Artifact
Documentary Artifact",Roseau Public Library,2016-12-13,"O'Leary, Gina",Good,,,1,,,0.00,0.00,,1967,"One hardback book of Kittson County History 1976 ""Our Northwest Corner""",Good,0,,Kittson County History,0,,,,,,,,,8: Communication Artifact,"Research Rm, Book Case 3, Shelf -2",1,,,,,,0.00,,,,,,0,1213,,,,,,0,,,,,,,0,,2016-12-13,,"
",2016.2.3,book,,,,,,Documentary Artifact,Roseau Public Library,"8"" x 11"" Burgundy with gold writing 600 pages",,,Tayor Publishing Co.,,Dallas Texas,Donation,01/05/2016,Roseau Public Library,,,,,,,,OK,"O'Leary, Gina",2016-12-13,"book
Kittson 
county
history
heritage
family
churches
organizations
town
townships","book
Kittson 
county
history
heritage
family
churches
organizations
town
townships",,,,,,,,Our Northwest Corner,,,,,,,,and certain other laws,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-10T16:18:23,Unknown,,false,,917F08CC-2885-496F-ABFA-756264139490
2016.45,0.00,,,,,,"Swanson, Edie",2016-12-19,"Communication Artifact
Documentary Artifact",Roseau Community Schools,2016-12-19,"Swanson, Edie",Fair,,,0,"Thaddeus P. Giddings, Will Earhart, Ralph L. Baldwin, Elbridge W. Newton",,0.00,0.00,,1923,"A light brown colored hardcover music book. The design on the front cover and lettering are in black, It reads: Songs of Childhood, Music Education Series. The illustrations are by Frances Shewsbury.  Some of the songs are from Mother Goose , Nursery Rime and other authors, ",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH 12A, Box Textbooks",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-12-19,,,2016.45.2,"Book, Hardcover",,,,,,Documentary Artifact,Roseau Community Schools,"8.25"" x 6.5""  light brown colored hardcover book",,,Ginn & Company,,Boston,Donation,12/16/2016,Roseau Community School,,Music Education Series,,,,,,OK,"Swanson, Edie",2016-12-19,"book
hardcover
songs
music
children","book
hardcover
songs
music
children",,,,,,,,Songs of Childhood,Music Education Series,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-30T12:12:30,Unknown,,false,,33B976D9-C1E4-4C22-9796-607336421888
2016.45,0.00,,,,,,"Swanson, Edie",2016-12-19,"Communication Artifact
Documentary Artifact",Roseau Community Schools,2016-12-19,"Swanson, Edie",Fair,,,0,Lois Lunt,,0.00,0.00,,1959,A green colored hardcovered songbook  is a collection of 25 songs & rhythms based on the interest and activities of children.,,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH 12A, Box Textbooks",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-12-19,,,2016.45.7,"Book, Hardcover",,,,,,Documentary Artifact,Roseau Community Schools,"11.125' x 8.5"" green colored hardcovered book",,,"T.S. Denison & Company, Inc",,Mpls.MN,Donation,12/16/2016,Roseau Community School,,,,,,,,OK,"Swanson, Edie",2016-12-19,"book
hardcover
songs
music
children","book
hardcover
songs
music
children",,,,,,,,"Hop, Skip & Sing",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-30T12:04:18,Unknown,,false,,2538D7A5-4AE3-4B0F-A00A-776348941462
2016.1,0.00,,,,,,Mariah,2016-12-27,"Communication Artifact 
Ceremonial Artifact ",Unknown,2016-12-27,Mariah,Fair,,,0,,,0.00,0.00,,,,,0,,,0,,,,,,,,,8: Communication Artifact,"Archive Rm, shelf 23 A, Box 2",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-12-27,,,2016.1.312,"Book, Hymnal",,,,,,Ceremonial Artifact,Unknown,,,,,,,Donation,,Unknown,,,,,,,,OK,Mariah,2016-12-27,"Book 
Hymnal","Book 
Hymnal ",,,,,,,,Tabernacle Praises,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-01-12T10:56:19,,,false,,2A2EF495-CC65-4224-BE8E-144936459575
2016.1,0.00,,,,,,"Swanson, Edie",2016-12-28,"Communication Arrtifact
Documentary Artifact",Unknown,2016-12-28,"Swanson, Edie",Good,,,0,Leksands Kulturnamnd,,0.00,0.00,,1926,A blue colored softcover book with a black & white photo of people in their Swedish costume standing by a May Pole. Inside it has more photos and information about the town.,,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH 23A, Box 1",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-12-28,,,2016.1.313,Book,,,,,,Documentary Artifact,Unknown,"10"" x 7.125"" softcover",,,,,,Donation,,Unknown,,,,,,,,OK,"Swanson, Edie",2016-12-28,"book
Swedish
 Lima By","book
Swedish
 Lima By",,,,,,,,Lima By,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-01-12T10:57:36,,,false,,A18EF6B9-BA2B-449E-A7CA-098350175800
11286,0.00,,,,,,"Swanson, Edie",2016-12-28,"Communication Artifact
Documentary Artifact
",Floyd & Marge Olson,2016-12-28,"Swanson, Edie",Fair,,,0,Louis Joseph Vance,,0.00,0.00,,circa 1911,"A Swedish fiction book with a picture inside of a woman in white entering into a office , a white man in a suit on the telephone looks at her.  Inside front cover are the names: John & Marie Nelson",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH 23A, Box 1",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-12-28,,,11286,Book,,,,,,Documentary Artifact,"Olson, Floyd & Marjorie","6.75"" x 4.5"" x .625"" tan colored hardcover",,,Nordiska Forlaget,,Stockholm,,,,,,,,,,,OK,"Swanson, Edie",2016-12-28,"book 
fiction
Swedish","book 
fiction
Swedish",,,,,,,,Lycksokaren ( The Fortune hunter),,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-01-13T11:32:01,,,false,,5631B431-315A-4E3A-946F-582167883180
2016.1,0.00,,,,,,"Swanson, Edie",2016-12-28,"Communication Artifact
Documentary Artifact",Unknown,2016-12-28,"Swanson, Edie",Fair,,,0,J. Fjellstedt,,0.00,0.00,,1919,"A red colored hardcover book in Swedish  containging a brief histories of the missions in the northern Red River Valley from 1895-1919. Some of the pillers of the mission in Roseau were Erick Carlin, A. danielson, N.G. Risberg, N.E. Lundquist, P.E. Rosen, C.E.Steel, Anna K. Risberg, Katharina Danielson & J.U. Skoglund. ",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, SH 23A, Box 1",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2016-12-28,,,2016.1.314,Book,,,,,,Documentary Artifact,Unknown,"7.75"" x 5.375"" red colored hardcovered book",,,Emil Forslund Printing,,Chicago,Donation,,Unknown,,,,,,,,OK,"Swanson, Edie",2016-12-28,"book
Swedish
missions
Red River
Valley","book
Swedish
missions
Red River
Valley",,,,,,,,"Tjugufemarsminne
25 years in Red River Valley Memory",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-01-12T10:59:21,,,false,,695556DB-6D8F-4E0D-80FA-504560322554
2017.4,0.00,,,,,,"Swanson, Edie",2017-01-13,"Communication Artifact
Documentary Artifact",Roseau Public Library,2017-01-13,"Swanson, Edie",Good,,,0,Mary Logue,,0.00,0.00,,2006,A signed copy of Courthouses of Minnesota with text by Mary Logue and photography by Doug Ohman. The pictures show the diversity of the courthouses. Paired with the photos are stories  that reveal the secrets of these building we thought we knew.,,0,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 4, Shelf 2",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-01-13,,,2017.4.1,"Book, Hardcover",,,,,,Documentary Artifact,Roseau Public Library,"tan colored hardcover
multicolored book jacket-paper
book: 9.25"" x 8.125"" 
book jacket: 9.25"" x 24.75""",,,,,,Donation,01/10/2017,Roseau public Library,,,,,,,,OK,"Swanson, Edie",2017-01-13,"book
hardcover
courthouses
Minnesota","book
hardcover
courthouses
Minnesota",,,,,,,,Courthouses of Minnesota,Minnesota Historical Society Press,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-23T15:19:35,Unknown,,false,,FF69352E-2DC6-43EC-A9EE-052804220600
2017.5,0.00,,,,,,"Swanson, Edie",2017-01-19,"T&E For Materials
Food Processing T&E",Timothy Layeux,2017-01-19,"Swanson, Edie",Fair,,,0,,,0.00,0.00,,1976,"A red plastic coated tagboard front & back covers with a black plastic binding on this cookbook. A sketch of the Our Redeemer's Lutheran Church is on the front cover along with: Favorite Recipes from Our Redeemer's Lutheran Church Badger, Minnesota 1901-1976 75th Anniversary Year in black lettering. ",,0,,,0,,,,,,,,,4: T&E For Materials,"Archive RM, SH 27A, Box A, Cookbooks",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-01-19,,,2017.5.1,Cookbook,,,,,,Food Processing T&E,"Layeux, Timothy","8.5"" x 7.5"" ",,,General Publishing & Binding,,"Iowa Falls, Iowa",Donation,01/18/2017,"Layeux, Timothy",,,,,,,,OK,"Swanson, Edie",2017-01-19,"cookbook
church
anniversary
collection","cookbook
church
anniversary
collection",,,,,,,,"Our Redeemer's Lutheran Church  1901-1976
75th Anniversary Year",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2018-05-18T14:28:55,Unknown,,false,,200B5F41-7C32-4A41-9C67-053375479330
2017.5,0.00,,,,,,"Swanson, Edie",2017-01-19,"Communication Artifact
Documentary Artifact",Timothy Layeux,2017-01-19,"Swanson, Edie",Fair,,,0,"Gerald Yoakum, Kathleen Hester, Louise Abney and other others.",,0.00,0.00,,1955,"A colorful hardcover lesson book. It has a picture of a frontiers-man in buckskins and coon skin cap in the woods with a rifle. The stories are separated into different section: Knowledge- People & Places, Beauty- Artist & Ideals, History- Indians & Heroes, Nature- Birds & Animals, and Emotion- Sentiment and Fun. ",,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, Sh 12 A, Box Textbooks",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-01-19,,,2017.5.3,"Book, Lesson",,,,,,Documentary Artifact,"Layeux, Timothy","8.25"" x 6"" hardcover",,,"Laidlaw Brothers, Inc., Publishers",,"River Forest, Illinois",Donation,01/18/2017,"Layeux, Timothy",,,,,,,,OK,"Swanson, Edie",2017-01-19,"book
lesson
reader
school","book
lesson
reader
school",,,,,,,,On The Trail Of Adventure,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-30T12:13:07,Unknown,,false,,D81D27BF-4040-4DE6-B7D9-202018935827
2017.5,0.00,,,,,,"Swanson, Edie",2017-01-19,"Communication Artifact
Documentary Artifact",Timothy Layeux,2017-01-19,"Swanson, Edie",Fair,,,0,"Beauchamp, Crampton & Gray",,0.00,0.00,,1951,A green hardcover picture lesson book. It will ask a question and by the used of pictures; it will supply the answers. On the front cover is a colored picture of a girl and a dog outside  with flowers and bushes. ,,0,,,0,,,,,,,,,8: Communication Artifact,"Archive RM, Sh 12A, Box Textbooks",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-01-19,,,2017.5.4,"Book, Lesson",,,,,,Documentary Artifact,"Layeux, Timothy","10.375"" x 8"" green hardcover",,,"Scott, Foresman and Company",,"Chicago, Illinois",Donation,01/18/2017,"Layeux, Timothy",,,,,,,,OK,"Swanson, Edie",2017-01-19,"book
lesson
reader
school","book
lesson
reader
school",,,,,,,,All Around Us,"Basic Studies in Science
Book 3",,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-30T12:08:33,Unknown,,false,,5DCF645E-AC17-4CD3-981E-669335990544
2017.7,0.00,,,,,,"Wojahn, Linda",2017-04-10,"Communication Artifact
Documentary Artifact",Rudy Billberg,2016-12-13,"O'Leary, Gina",Good,,,1,Rudy Billberg as told to Jim Rearden,,0.00,0.00,,1992,"1 rough draft
  of the book ""In the Shadow of Eagles"" From Barnstormer to Alaska Bush Pilot, A Flyer's Story. 352 pages, 26 black & white photographs, 2 maps
Trim size 6"" x 9""",Good,0,,Flying Alaska,0,,,,,,,,,8: Communication Artifact,"Archive Rm, SH 13A, Box 1, Rudy Billberg",1,,,,,,0.00,,,ISBN: 0-882-40-413-X,,,0,0,,,,,,0,,,,,,,0,,2016-12-13,,"
",2017.7.5,book,,,,,,Advertising Medium,"Billberg, Rudy & Bessie
Hermansen, Rev. Louis & Annette","9.25"" x 11""",,,Alaska Northwest Books,,"Bothell, Washington 98021",Donation,02/21/2017,"Hermansen, Rev. Louis & Annette",,,,,,,,OK,"Wojahn, Linda",2017-04-10,"book
shadow
eagles
Rudy
Billberg
barnstormer
Alaska
bush
pilot
flyer
1992","book
shadow
eagles
Rudy
Billberg
barnstormer
Alaska
bush
pilot
flyer
1992",,,,,,,,In the Shadow of Eagles,,,,,,,,and certain other laws,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2018-08-14T10:46:43,Unknown,,false,,37505F45-A3DE-40F0-A50F-807262784991
2017.1,0.00,,,,,,"Wojahn, Linda",2017-05-02,"Communication Artifact
Documentary Artifact",Hazel Wahlberg,2017-05-02,"Wojahn, Linda",Good,,,0,Hazel Wahlberg       (Illustrated by Frances Karlsson),,0.00,0.00,,1975,"Seven harcovered books titled ""The Northland"" A History of Roseau County written by Hazel Wahlberg and illustrated by Frances Karlsson. The book is red with white design on front cover. There is a paper protector on five of the books , which gives description of book and a map of Roseau County on the back of cover. There are 224 pages


Hazel H. Wahlberg grew up in North St. Paul, Minnesota, and graduated from St. Olaf College. She was an English teacher and librarian for a number of years, and has always been interested in writing. The history of the area was a natural subject for a writing project, and she spent four and a half years in preparation of this book. Her love for Northern Minnesota and its people made it a labor of great joy and satisfaction.

Frances Karlsson, the artist was born in Peoria, Illinois, and studied commercial art in Chicago. After working for book publishers she married Einar Karlsson and the redided on a farm near Roseau where she had continued her interest in art. She did realistic paintings of the area in watercolor, and palette knife oils. Frances Karlsson's art had been presented in several art shows.",,0,,,0,,,,,,,,,8: Communication Artifact,"Research Rm, Book Case 1, Shelf -1",2,,,,,,0.00,,,,,,0,0,75-11310,,,,,0,,,,,,,0,,2017-05-02,,,2017.1.166,Book,,,,,,Documentary Artifact,"Wahlberg, Carl & Hazel
Karlsson, Einar & Frances (McNeill)
Roseau County Historical Society","8.25"" x 10.75"" red hardcovered book",,,Roseau County Historical Society,,"County of Roseau, State of Minnesota",Donation,,Unknown,,,,,,,,OK,"Wojahn, Linda",2017-05-02,"book
northland
Hazel
Wahlberg
Frances 
Karlsson
history
Roseau
county","book
northland
Hazel
Wahlberg
Frances 
Karlsson
history
Roseau
county
",,,,,,,,"The Northland
A History of Roseau County",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-02-04T09:43:00,Unknown,,false,,8DEE3AD5-46A5-455F-9BA4-248978929475
2017.1,0.00,,,,,,"Wojahn, Linda",2017-05-02,"Communication Artifact
Documentary Artifact",Roseau County Historical Society,2017-05-02,"Wojahn, Linda",Good,,,0,Roseau County Volunteers,,0.00,0.00,,1994,"2 paperback books titled ""County of Roseau Centennial"" 1895-1995. The cover is a commemorative poster that celebrates one hundred years of county history by depicting the ""Medora"" loaded with passengers, mail, and supplies on its daily run from Pelan to Roseau, Minnesota soon after the county was organized. The horse-drawn coach followed the sand ridge traveled by various Indian tribes as well as the trappers and hunters in the area. 

Marv Espe designed this cover. Marv Espe grew up on a farm near Roseau, Minnesota and has enjoyed producing works of art which reflect his rural background as well as his love of natural subjects which include woods and water as well as the creatures that live there. His art career began in 1965 after a brief five-year stint as an elementary teacher. His formal art training included time at the American Academy of Art in Chicago as well as at the Minneapolis College of Art and Design in Minneapolis, Minnesota.

From 1965 until 1977 he was employed by Jostens Inc. of Owatonna, Minnesota as staff artist in their Graphic Arts Division. In 1977, Espe with his wife Myrna and two children moved to northern Minnesota where for 20 years he was engaged in painting a wide range of local subjects as well as illustrating for numerous publishers on a free-lance basis.

In 1997 he and his wife moved to northern Wisconsin where he continues to create beautiful art. To date he has produced and sold well more than 1100 original paintings. Well over 1000 of his illustrations have also been published over the years. He has also conducted painting workshops for numerous art organizations in Minnesota, North Dakota, South Dakota and Nebraska.

His paintings have been included in many group and individual exhibitions throughout the upper midwest, and are seen in private as well as corporate collections throughout the U.S. and Canada.

National organizations that have used his art include: The Artists Magazine, The American Artist Magazine, National Arbor Day Foundation, National Wildlife Federation, National Rifle Association and others.  http://marvespeart.com/about/

323 pages

",,0,,,0,,,,,,,,,8: Communication Artifact,"Research Rm, Book Case 1, Shelf-1",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-05-02,,,2017.1.167,Book,,,,,,Documentary Artifact,Roseau County Historical Society,"8.5"" x 10.75"" ",,,Quality Printing,,"Roseau, Minnesota",Donation,,Unknown,,,,,,,,OK,"Wojahn, Linda",2017-05-02,"book
county
Roseau
centennial
1895
1995
Medora
stagecoach
Marv
Espe","book
county
Roseau
centennial
1895
1995
Medora
stagecoach
Marv
Espe",,,,,,,,County of Roseau Centennial,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2019-12-10T16:00:27,Unknown,,false,,BE35FD28-8E36-4C26-9249-212677013158
2017.1,0.00,,,,,,"Wojahn, Linda",2017-05-02,"Communication Artifact
Documentary Artifact",Roseau County Historical Society,2017-05-02,"Wojahn, Linda",Good,,,0,Hazel Wahlberg       (Illustrated by Frances Karlsson),,0.00,0.00,,1979,"6 paperback books titled ""Remembrances"" Anthology of Roseau County, compiled & written by Hazel Wahlberg, edited by Valborg Tweet, and cover & sketches by Frances Karlsson. The book is red with white design on front cover. This book was compiled so that the remembrance of the foundations of Roseau County would be preserved. The subjects for the articles were chosen to present a wide variety of occupations from various areas in the county. Further consideration had to be given to availability of data, authoritative authorship, as well as the contributions each made to Roseau County. 
128 pages


Hazel H. Wahlberg grew up in North St. Paul, Minnesota, and graduated from St. Olaf College. She was an English teacher and librarian for a number of years, and has always been interested in writing. The history of the area was a natural subject for a writing project, and she spent four and a half years in preparation of this book. Her love for Northern Minnesota and its people made it a labor of great joy and satisfaction.

Frances Karlsson, the artist was born in Peoria, Illinois, and studied commercial art in Chicago. After working for book publishers she married Einar Karlsson and the redided on a farm near Roseau where she had continued her interest in art. She did realistic paintings of the area in watercolor, and palette knife oils. Frances Karlsson's art had been presented in several art shows.",,0,,,0,,,,,,,,,8: Communication Artifact,"Research Rm, Book Case 1,Shelf-1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-05-02,,,2017.1.168,Book,,,,,,Documentary Artifact,"Wahlberg, Carl & Hazel
Karlsson, Einar & Frances (McNeill)
Roseau County Historical Society","8.5"" x 11"" red & white paperback  book",,,Badger Enterprise,,"Badger, Minnesota",Donation,,Unknown,,,,,,,,OK,"Wojahn, Linda",2017-05-02,"book
Remembrances
anthology
Roseau
county
Minnesota
foundations
history
contributors
importance","book
Remembrances
anthology
Roseau
county
Minnesota
foundations
history
contributors
importance",,,,,,,,"Remembrances
Anthology of Roseau County",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-02-04T09:43:09,Unknown,,false,,FE35FFFD-7C40-4694-A249-310841117072
2017.1,0.00,,,,,,"Wojahn, Linda",2017-05-02,"Communication Artifact
Documentary Artifact",Roseau County Historical Society,2017-05-02,"Wojahn, Linda",Good,,,0,"Ruth Stukel, Ella Valborg Tweet, and Hazel Wahlberg",,0.00,0.00,,1976,"5 paperback books titled ""Pioneers! O Pioneers! A History of Early Settlers in Roseau County, 1885-1910 compiled by Roseau County Historical Society and Warroad Bicentennial Committee. Written by Hazel Wahlberg, Ella Valborg Tweet, and Ruth Stukel. Sketches were by Wayne Olson.",,0,,,0,,,,,,,,,8: Communication Artifact,"Research Rm, Book Case 1, Shelf-1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-05-02,,,2017.1.169,Book,,,,,,Documentary Artifact,"Wahlberg, Carl & Hazel
Karlsson, Einar & Frances (McNeill)
Roseau County Historical Society
Olson, Wayne
Tweet, Ella Valborg","8.25"" x 11"" red & white paperback  book",,,Roseau County Historical Society & Warroad Bicentennial Committee,,"Badger Enterprise, Badger, MN",Donation,,Unknown,,,,,,,,OK,"Wojahn, Linda",2017-05-02,"book
Pioneers! O Pioneers!
history
early
settlers
Roseau
county
1885
1910","book
Pioneers! O Pioneers!
history
early
settlers
Roseau
county
1885
1910
",,,,,,,,Pioneers! O Pioneers!,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-02-04T09:43:20,Unknown,,false,,F37F8646-C138-45EF-960B-057149335968
